timestamps,TP9,AF7,AF8,TP10
1714655705.266,-41.016,-28.320,-39.551,-50.293
1714655705.270,-50.781,-26.855,-34.668,-55.664
1714655705.274,-51.758,-25.879,-37.109,-53.223
1714655705.276,-49.316,-24.414,-36.621,-49.316
1714655705.280,-46.875,-20.996,-32.227,-40.039
1714655705.284,-45.410,-22.461,-32.227,-37.109
1714655705.288,-37.109,-22.949,-30.273,-41.992
1714655705.292,-33.691,-23.926,-34.180,-42.969
1714655705.296,-43.457,-22.461,-36.621,-39.551
1714655705.300,-43.457,-26.367,-36.133,-43.945
1714655705.303,-39.062,-31.738,-38.086,-51.270
1714655705.307,-37.598,-29.785,-35.156,-46.387
1714655705.311,-33.203,-27.344,-37.598,-40.527
1714655705.315,-34.668,-25.391,-39.551,-44.922
1714655705.319,-43.945,-27.344,-38.574,-56.641
1714655705.321,-43.945,-30.273,-37.109,-59.570
1714655705.325,-42.969,-27.344,-31.738,-50.781
1714655705.329,-43.457,-23.438,-35.645,-52.246
1714655705.333,-44.922,-23.926,-39.062,-61.035
1714655705.337,-47.852,-30.762,-36.621,-61.523
1714655705.341,-41.992,-25.391,-36.621,-60.547
1714655705.345,-36.621,-28.809,-36.133,-56.152
1714655705.348,-41.016,-39.551,-36.133,-57.129
1714655705.352,-45.410,-38.574,-38.086,-62.012
1714655705.356,-51.270,-37.598,-35.156,-56.152
1714655705.360,-51.758,-37.109,-30.273,-45.410
1714655705.364,-47.852,-39.551,-33.203,-40.527
1714655705.381,-49.316,-40.527,-34.668,-44.922
1714655705.385,-50.781,-36.621,-32.227,-51.270
1714655705.389,-47.363,-33.691,-35.156,-52.734
1714655705.393,-45.410,-38.574,-41.504,-52.734
1714655705.397,-46.387,-43.945,-44.434,-53.223
1714655705.401,-39.551,-31.738,-39.551,-43.945
1714655705.405,-34.180,-29.785,-38.574,-40.527
1714655705.408,-36.621,-34.668,-37.598,-45.898
1714655705.412,-33.203,-27.832,-32.715,-45.898
1714655705.416,-33.203,-21.484,-33.203,-52.734
1714655705.420,-35.156,-24.414,-40.527,-65.918
1714655705.424,-35.645,-24.902,-42.480,-60.059
1714655705.426,-32.227,-17.578,-40.527,-48.828
1714655705.430,-29.785,-12.695,-41.504,-52.734
1714655705.434,-33.691,-22.461,-43.457,-57.129
1714655705.438,-30.762,-28.809,-41.504,-53.223
1714655705.442,-23.438,-21.973,-34.180,-50.781
1714655705.446,-30.273,-20.508,-30.273,-54.688
1714655705.450,-43.945,-32.715,-35.645,-61.035
1714655705.453,-42.480,-36.133,-35.645,-55.176
1714655705.457,-42.480,-37.598,-32.227,-54.199
1714655705.461,-46.387,-40.039,-34.180,-55.176
1714655705.465,-49.805,-37.109,-37.598,-46.875
1714655705.469,-52.246,-35.645,-37.109,-45.898
1714655705.472,-49.316,-33.691,-33.691,-50.293
1714655705.476,-47.363,-33.203,-31.250,-51.758
1714655705.480,-43.945,-31.738,-27.832,-52.734
1714655705.484,-39.551,-25.879,-23.926,-42.480
1714655705.488,-46.875,-30.762,-25.391,-44.922
1714655705.492,-49.316,-38.574,-25.879,-57.129
1714655705.496,-40.527,-37.598,-26.367,-51.270
1714655705.499,-32.715,-34.180,-32.227,-44.922
1714655705.503,-28.320,-36.621,-35.645,-43.945
1714655705.507,-27.832,-33.691,-30.273,-36.621
1714655705.511,-37.109,-29.785,-26.367,-38.574
1714655705.515,-48.340,-33.691,-32.227,-52.734
1714655705.517,-46.875,-33.691,-30.273,-56.641
1714655705.521,-42.969,-32.715,-24.414,-50.781
1714655705.525,-38.574,-38.086,-28.809,-51.758
1714655705.529,-41.504,-38.574,-30.273,-49.316
1714655705.533,-42.969,-34.180,-30.273,-48.828
1714655705.537,-39.062,-27.344,-33.203,-53.223
1714655705.541,-41.504,-29.785,-34.668,-49.316
1714655705.544,-44.922,-35.156,-33.691,-47.852
1714655705.548,-47.363,-37.598,-32.715,-52.734
1714655705.552,-42.480,-29.785,-30.273,-46.387
1714655705.556,-27.344,-28.320,-27.832,-41.016
1714655705.560,-20.996,-33.203,-26.367,-32.715
1714655705.562,-25.879,-31.738,-28.320,-24.414
1714655705.566,-23.926,-28.809,-31.738,-23.438
1714655705.570,-17.578,-24.414,-30.762,-22.949
1714655705.574,-20.996,-25.391,-29.785,-26.855
1714655705.578,-25.879,-28.320,-33.691,-30.273
1714655705.582,-23.926,-24.902,-31.250,-31.250
1714655705.586,-33.203,-29.785,-31.250,-41.016
1714655705.589,-39.551,-38.574,-34.668,-47.363
1714655705.593,-33.691,-37.598,-33.203,-41.504
1714655705.597,-32.715,-31.250,-32.227,-41.504
1714655705.601,-34.180,-29.297,-31.250,-40.039
1714655705.605,-31.738,-32.227,-33.203,-33.203
1714655705.606,-31.250,-31.738,-32.227,-31.738
1714655705.610,-31.250,-24.902,-29.297,-29.785
1714655705.614,-16.113,-24.414,-30.762,-23.438
1714655705.618,-0.977,-25.391,-29.297,-14.648
1714655705.622,-5.371,-28.809,-24.414,-17.090
1714655705.626,-31.738,-27.344,-21.484,-46.387
1714655705.630,-46.875,-30.762,-24.902,-53.711
1714655705.633,-40.527,-41.016,-33.203,-45.898
1714655705.637,-39.062,-41.016,-28.320,-41.016
1714655705.641,-43.945,-38.086,-23.926,-46.387
1714655705.645,-40.039,-37.598,-29.297,-51.758
1714655705.649,-37.598,-38.086,-34.668,-57.129
1714655705.651,-52.734,-36.621,-34.180,-59.570
1714655705.655,-45.410,-37.598,-33.203,-47.852
1714655705.659,-40.039,-41.992,-31.738,-36.621
1714655705.663,-40.039,-43.457,-31.738,-36.133
1714655705.667,-15.137,-36.621,-34.668,-39.551
1714655705.671,-24.414,-24.414,-30.762,-39.551
1714655705.675,-42.480,-25.879,-30.762,-39.551
1714655705.678,-38.086,-36.621,-35.645,-34.668
