timestamps,TP9,AF7,AF8,TP10,Right AUX
1714919669.203,546.875,499.512,539.062,524.414,-52
1714919669.207,515.625,375.0,573.242,490.723,29
1714919669.211,497.559,317.383,514.648,488.77,-22
1714919669.215,467.773,366.699,496.094,502.93,48
1714919669.217,486.816,426.27,523.926,502.441,80
1714919669.221,505.859,415.039,445.312,487.305,99
1714919669.225,449.219,377.441,420.898,447.266,-63
1714919669.229,403.809,335.449,487.793,422.852,-31
1714919669.233,406.738,312.988,435.059,427.246,-64
1714919669.237,458.008,359.375,376.465,441.895,-46
1714919669.241,486.816,402.832,426.27,452.637,54
1714919669.244,404.785,329.102,428.711,406.738,-59
1714919669.248,374.023,237.305,403.32,385.254,-63
1714919669.252,374.512,217.285,424.316,379.395,59
1714919669.256,353.516,316.406,387.207,375.977,-50
1714919669.26,353.027,352.539,369.629,378.418,-83
1714919669.277,310.547,273.438,377.93,358.887,56
1714919669.281,283.691,250.977,350.586,376.953,-99
1714919669.285,277.832,227.539,322.754,379.883,39
1714919669.289,287.109,255.859,329.59,369.141,39
1714919669.293,287.109,278.809,354.98,369.629,-100
1714919669.297,267.09,244.141,330.566,354.492,-84
1714919669.301,246.582,195.801,276.367,337.891,8
1714919669.304,247.559,144.043,291.016,331.055,-99
1714919669.308,259.277,193.359,323.242,342.285,-46
1714919669.312,246.094,240.723,292.48,329.102,33
1714919669.316,263.672,182.129,253.906,316.895,93
1714919669.32,247.07,160.645,192.871,347.168,-39
1714919669.322,191.895,168.457,184.082,335.938,4
1714919669.326,214.844,204.59,298.828,289.062,-25
1714919669.33,258.301,258.301,330.078,276.367,66
1714919669.334,223.633,225.098,292.48,275.879,28
1714919669.338,169.434,182.129,269.531,273.926,-75
1714919669.342,152.832,131.836,240.234,261.719,-55
1714919669.346,187.5,126.465,228.516,282.227,33
1714919669.349,220.703,183.105,227.539,291.016,49
1714919669.353,172.363,162.109,234.375,245.117,-48
1714919669.357,141.602,124.023,217.285,254.883,-79
1714919669.361,134.277,113.77,242.188,270.02,98
1714919669.365,127.441,115.234,194.824,281.25,-75
1714919669.366,176.27,175.293,118.652,301.758,-37
1714919669.37,200.684,171.387,189.941,317.871,25
1714919669.374,152.344,105.957,192.383,293.945,-32
1714919669.378,125.0,94.238,176.758,272.949,51
1714919669.382,138.184,106.934,219.238,239.746,-46
1714919669.386,159.668,169.922,235.352,225.586,-73
1714919669.39,180.664,182.617,249.512,249.023,-13
1714919669.393,166.992,117.188,202.637,251.465,-55
1714919669.397,115.234,59.57,167.969,244.141,31
1714919669.401,135.254,62.988,166.504,229.004,-36
1714919669.405,207.52,136.23,129.395,252.93,-59
1714919669.409,192.383,151.855,83.496,256.836,-28
1714919669.412,145.996,130.859,95.215,243.164,-22
1714919669.416,150.879,114.746,196.289,248.535,62
1714919669.42,95.703,88.867,259.277,206.055,59
1714919669.424,95.703,105.957,186.523,188.965,-67
1714919669.428,138.672,88.379,136.23,197.754,49
1714919669.432,122.07,68.848,177.734,182.617,-59
1714919669.436,114.746,42.969,183.105,179.688,3
1714919669.439,117.188,29.785,117.676,182.617,-41
1714919669.443,153.809,84.961,73.73,196.289,35
1714919669.447,195.312,102.539,98.633,205.566,-3
1714919669.451,163.574,73.73,153.32,205.566,-16
1714919669.455,125.488,72.754,162.598,203.125,73
1714919669.457,132.324,42.969,138.184,195.801,-85
1714919669.461,153.809,35.645,152.832,214.844,3
1714919669.465,165.527,87.891,142.578,239.258,-65
1714919669.469,170.41,84.961,95.703,199.219,-28
1714919669.473,132.324,88.867,97.168,181.641,-43
1714919669.477,65.43,63.965,163.086,161.133,45
1714919669.481,62.5,23.926,151.855,154.785,-66
1714919669.484,112.305,79.102,141.602,182.617,92
1714919669.488,130.371,93.262,182.129,186.523,71
1714919669.492,105.957,43.457,143.555,187.012,-20
1714919669.496,99.609,27.344,72.266,171.875,-57
1714919669.5,103.027,55.664,85.449,146.973,94
